name,Economy (mpg),cylinders,displacement (cc)
AMC Ambassador Brougham,13,8,360
AMC Ambassador DPL,15,8,390
AMC Ambassador SST,17,8,304
AMC Concord DL 6,20.2,6,232
AMC Concord DL,18.1,6,258
AMC Concord DL,23,4,151
AMC Concord,19.4,6,232
AMC Concord,24.3,4,151
AMC Gremlin,18,6,232
AMC Gremlin,19,6,232
AMC Gremlin,20,6,232
AMC Gremlin,21,6,199
AMC Hornet Sportabout (Wagon),18,6,258
AMC Hornet,18,6,199
AMC Hornet,18,6,232
AMC Hornet,19,6,232
AMC Hornet,22.5,6,232
AMC Matador (Wagon),14,8,304
AMC Matador (Wagon),15,8,304
AMC Matador,14,8,304
AMC Matador,15,6,258
AMC Matador,15.5,8,304
AMC Matador,16,6,258
AMC Matador,18,6,232
AMC Pacer D/L,17.5,6,258
AMC Pacer,19,6,232
AMC Rebel SST (Wagon),,8,360
AMC Rebel SST,16,8,304
AMC Spirit DL,27.4,4,121
Audi 100 LS,20,4,114
Audi 100 LS,23,4,115
Audi 100 LS,24,4,107
Audi 4000,34.3,4,97
Audi 5000,20.3,5,131
Audi 5000S (Diesel),36.4,5,121
Audi Fox,29,4,98
BMW 2002,26,4,121
BMW 320i,21.5,4,121
Buick Century 350,13,8,350
Buick Century Limited,25,6,181
Buick Century Luxus (Wagon),13,8,350
Buick Century Special,20.6,6,231
Buick Century,17,6,231
Buick Century,22.4,6,231
Buick Electra 225 Custom,12,8,455
Buick Estate Wagon (Wagon),14,8,455
Buick Estate Wagon (Wagon),16.9,8,350
Buick Lesabre Custom,13,8,350
Buick Opel Isuzu Deluxe,30,4,111
Buick Regal Sport Coupe (Turbo),17.7,6,231
Buick Skyhawk,21,6,231
Buick Skylark 320,15,8,350
Buick Skylark Limited,28.4,4,151
Buick Skylark,20.5,6,231
Buick Skylark,26.6,4,151
Cadillac Eldorado,23,8,350
Cadillac Seville,16.5,8,350
Chevroelt Chevelle Malibu,16,6,250
Chevrolet Bel Air,15,8,350
Chevrolet Camaro,27,4,151
Chevrolet Caprice Classic,13,8,400
Chevrolet Caprice Classic,17,8,305
Chevrolet Caprice Classic,17.5,8,305
Chevrolet Cavalier 2-Door,34,4,112
Chevrolet Cavalier Wagon,27,4,112
Chevrolet Cavalier,28,4,112
Chevrolet Chevelle Concours (Wagon),,8,350
Chevrolet Chevelle Concours (Wagon),13,8,307
Chevrolet Chevelle Malibu Classic,16,6,250
Chevrolet Chevelle Malibu Classic,17.5,8,305
Chevrolet Chevelle Malibu,17,6,250
Chevrolet Chevelle Malibu,18,8,307
Chevrolet Chevette,29,4,85
Chevrolet Chevette,30,4,98
Chevrolet Chevette,30.5,4,98
Chevrolet Chevette,32.1,4,98
Chevrolet Citation,23.5,6,173
Chevrolet Citation,28,4,151
Chevrolet Citation,28.8,6,173
Chevrolet Concours,17.5,6,250
Chevrolet Impala,11,8,400
Chevrolet Impala,13,8,350
Chevrolet Impala,14,8,350
Chevrolet Impala,14,8,454
Chevrolet Malibu Classic (Wagon),19.2,8,267
Chevrolet Malibu,13,8,350
Chevrolet Malibu,20.5,6,200
Chevrolet Monte Carlo Landau,15.5,8,350
Chevrolet Monte Carlo Landau,19.2,8,305
Chevrolet Monte Carlo S,15,8,350
Chevrolet Monte Carlo,15,8,400
Chevrolet Monza 2+2,20,8,262
Chevrolet Nova Custom,16,6,250
Chevrolet Nova,15,6,250
Chevrolet Nova,18,6,250
Chevrolet Nova,22,6,250
Chevrolet Vega (Wagon),22,4,140
Chevrolet Vega 2300,28,4,140
Chevrolet Vega,20,4,140
Chevrolet Vega,21,4,140
Chevrolet Vega,25,4,140
Chevrolet Woody,24.5,4,98
Chevy C10,13,8,350
Chevy C20,10,8,307
Chevy S-10,31,4,119
Chrysler Cordoba,15.5,8,400
Chrysler Lebaron Medallion,26,4,156
Chrysler Lebaron Salon,17.6,6,225
Chrysler Lebaron Town & Country (Wagon),18.5,8,360
Chrysler New Yorker Brougham,13,8,440
Chrysler Newport Royal,13,8,400
Citroen DS-21 Pallas,,4,133
Datsun 1200,35,4,72
Datsun 200SX,23.9,4,119
Datsun 200SX,32.9,4,119
Datsun 210,31.8,4,85
Datsun 210,37,4,85
Datsun 210,40.8,4,85
Datsun 280ZX,32.7,6,168
Datsun 310 GX,38,4,91
Datsun 310,37.2,4,86
Datsun 510 (Wagon),28,4,97
Datsun 510 Hatchback,37,4,119
Datsun 510,27.2,4,119
Datsun 610,22,4,108
Datsun 710,24,4,119
Datsun 710,32,4,83
Datsun 810 Maxima,24.2,6,146
Datsun 810,22,6,146
Datsun B-210,32,4,85
Datsun B210 GX,39.4,4,85
Datsun B210,31,4,79
Datsun F-10 Hatchback,33.5,4,85
Datsun PL510,27,4,97
Datsun PL510,27,4,97
Dodge Aries SE,29,4,135
Dodge Aries Wagon (Wagon),25.8,4,156
Dodge Aspen 6,20.6,6,225
Dodge Aspen SE,20,6,225
Dodge Aspen,18.6,6,225
Dodge Aspen,19.1,6,225
Dodge Challenger SE,15,8,383
Dodge Charger 2.2,36,4,135
Dodge Colt (Wagon),28,4,98
Dodge Colt Hardtop,25,4,97.5
Dodge Colt Hatchback Custom,35.7,4,98
Dodge Colt M/M,33.5,4,98
Dodge Colt,26,4,98
Dodge Colt,27.9,4,156
Dodge Colt,28,4,90
Dodge Coronet Brougham,16,8,318
Dodge Coronet Custom (Wagon),14,8,318
Dodge Coronet Custom,15,8,318
Dodge D100,13,8,318
Dodge D200,11,8,318
Dodge Dart Custom,15,8,318
Dodge Diplomat,19.4,8,318
Dodge Magnum XE,17.5,8,318
Dodge Monaco (Wagon),12,8,383
Dodge Monaco Brougham,15.5,8,318
Dodge Omni,30.9,4,105
Dodge Rampage,32,4,135
Dodge St. Regis,18.2,8,318
Fiat 124 Sport Coupe,26,4,98
Fiat 124 TC,26,4,116
Fiat 124B,30,4,88
Fiat 128,24,4,90
Fiat 128,29,4,68
Fiat 131,28,4,107
Fiat Strada Custom,37.3,4,91
Fiat X1.9,31,4,79
Ford Capri II,25,4,140
Ford Country Squire (Wagon),13,8,400
Ford Country Squire (Wagon),15.5,8,351
Ford Country,12,8,400
Ford Escort 2H,29.9,4,98
Ford Escort 4W,34.4,4,98
Ford F108,13,8,302
Ford F250,10,8,360
Ford Fairmont (Auto),20.2,6,200
Ford Fairmont (Man),25.1,4,140
Ford Fairmont 4,22.3,4,140
Ford Fairmont Futura,24,4,140
Ford Fairmont,26.4,4,140
Ford Fiesta,36.1,4,98
Ford Futura,18.1,8,302
Ford Galaxie 500,14,8,351
Ford Galaxie 500,14,8,351
Ford Galaxie 500,15,8,429
Ford Gran Torino (Wagon),13,8,302
Ford Gran Torino (Wagon),14,8,302
Ford Gran Torino,14,8,302
Ford Gran Torino,14.5,8,351
Ford Gran Torino,16,8,302
Ford Granada Ghia,18,6,250
Ford Granada GL,20.2,6,200
Ford Granada L,22,6,232
Ford Granada,18.5,6,250
Ford LTD Landau,17.6,8,302
Ford LTD,13,8,351
Ford LTD,14,8,351
Ford Maverick,15,6,250
Ford Maverick,18,6,250
Ford Maverick,21,6,200
Ford Maverick,21,6,200
Ford Maverick,24,6,200
Ford Mustang Boss 302,,8,302
Ford Mustang Cobra,23.6,4,140
Ford Mustang GL,27,4,140
Ford Mustang II 2+2,25.5,4,140
Ford Mustang II,13,8,302
Ford Mustang,18,6,250
Ford Pinto (Wagon),22,4,122
Ford Pinto Runabout,21,4,122
Ford Pinto,18,6,171
Ford Pinto,19,4,122
