Occupational Group,Detail Occupation ,Median Annual Wage
Management Occupations,Chief executives,"$168,140"
Management Occupations,General and operations managers,"$95,440"
Management Occupations,Legislators,"$19,780"
Management Occupations,Advertising and promotions managers,"$88,590"
Management Occupations,Marketing managers,"$119,480"
Management Occupations,Sales managers,"$105,260"
Management Occupations,Public relations and fundraising managers,"$95,450"
Management Occupations,Administrative services managers,"$81,080"
Management Occupations,Computer and information systems managers,"$120,950"
Management Occupations,Financial managers,"$109,740"
Management Occupations,Industrial production managers,"$89,190"
Management Occupations,Purchasing managers,"$100,170"
Management Occupations,"Transportation, storage, and distribution managers","$81,830"
Management Occupations,Compensation and benefits managers,"$95,250"
Management Occupations,Human resources managers,"$99,720"
Management Occupations,Training and development managers,"$95,400"
Management Occupations,"Farmers, ranchers, and other agricultural managers","$69,300"
Management Occupations,Construction managers,"$82,790"
Management Occupations,"Education administrators, preschool and childcare center/program","$43,950"
Management Occupations,"Education administrators, elementary and secondary school","$87,760"
Management Occupations,"Education administrators, postsecondary","$86,490"
Management Occupations,"Education administrators, all other","$76,860"
Management Occupations,Architectural and engineering managers,"$124,870"
Management Occupations,Food service managers,"$47,960"
Management Occupations,Funeral service managers,"$66,720"
Management Occupations,Gaming managers,"$65,220"
Management Occupations,Lodging managers,"$46,810"
Management Occupations,Medical and health services managers,"$88,580"
Management Occupations,Natural sciences managers,"$115,730"
Management Occupations,Postmasters and mail superintendents,"$63,050"
Management Occupations,"Property, real estate, and community association managers","$52,610"
Management Occupations,Social and community service managers,"$59,970"
Management Occupations,Emergency management directors,"$59,770"
Management Occupations,"Managers, all other","$100,890"
Business and Financial Operations Occupations,"Agents and business managers of artists, performers, and athletes","$63,370"
Business and Financial Operations Occupations,"Buyers and purchasing agents, farm products","$55,720"
Business and Financial Operations Occupations,"Wholesale and retail buyers, except farm products","$51,470"
Business and Financial Operations Occupations,"Purchasing agents, except wholesale, retail, and farm products","$58,760"
Business and Financial Operations Occupations,"Claims adjusters, examiners, and investigators","$59,960"
Business and Financial Operations Occupations,"Insurance appraisers, auto damage","$58,610"
Business and Financial Operations Occupations,Compliance officers,"$62,020"
Business and Financial Operations Occupations,Cost estimators,"$58,860"
Business and Financial Operations Occupations,Human resources specialists,"$55,800"
Business and Financial Operations Occupations,Labor relations specialists,"$54,660"
Business and Financial Operations Occupations,Logisticians,"$72,780"
Business and Financial Operations Occupations,Management analysts,"$78,600"
Business and Financial Operations Occupations,"Meeting, convention, and event planners","$45,810"
Business and Financial Operations Occupations,Fundraisers,"$50,680"
Business and Financial Operations Occupations,"Compensation, benefits, and job analysis specialists","$59,090"
Business and Financial Operations Occupations,Training and development specialists,"$55,930"
Business and Financial Operations Occupations,Market research analysts and marketing specialists,"$60,300"
Business and Financial Operations Occupations,"Business operations specialists, all other","$65,120"
Business and Financial Operations Occupations,Accountants and auditors,"$63,550"
Business and Financial Operations Occupations,Appraisers and assessors of real estate,"$49,540"
Business and Financial Operations Occupations,Budget analysts,"$69,280"
Business and Financial Operations Occupations,Credit analysts,"$61,080"
Business and Financial Operations Occupations,Financial analysts,"$76,950"
Business and Financial Operations Occupations,Personal financial advisors,"$67,520"
Business and Financial Operations Occupations,Insurance underwriters,"$62,870"
Business and Financial Operations Occupations,Financial examiners,"$75,800"
Business and Financial Operations Occupations,Credit counselors,"$39,420"
Business and Financial Operations Occupations,Loan officers,"$59,820"
Business and Financial Operations Occupations,"Tax examiners and collectors, and revenue agents","$50,440"
Business and Financial Operations Occupations,Tax preparers,"$33,730"
Business and Financial Operations Occupations,"Financial specialists, all other","$61,160"
Computer and Mathematical Occupations,Computer and information research scientists,"$102,190"
Computer and Mathematical Occupations,Computer systems analysts,"$79,680"
Computer and Mathematical Occupations,Information security analysts,"$86,170"
Computer and Mathematical Occupations,Computer programmers,"$74,280"
Computer and Mathematical Occupations,"Software developers, applications","$90,060"
Computer and Mathematical Occupations,"Software developers, systems software","$99,000"
Computer and Mathematical Occupations,Web developers,"$62,500"
Computer and Mathematical Occupations,Database administrators,"$77,080"
Computer and Mathematical Occupations,Network and computer systems administrators,"$72,560"
Computer and Mathematical Occupations,Computer network architects,"$91,000"
Computer and Mathematical Occupations,Computer user support specialists,"$46,420"
Computer and Mathematical Occupations,Computer network support specialists,"$59,090"
Computer and Mathematical Occupations,"Computer occupations, all other","$81,140"
Computer and Mathematical Occupations,Actuaries,"$93,680"
Computer and Mathematical Occupations,Mathematicians,"$101,360"
Computer and Mathematical Occupations,Operations research analysts,"$72,100"
Computer and Mathematical Occupations,Statisticians,"$75,560"
Computer and Mathematical Occupations,Mathematical technicians,"$56,820"
Computer and Mathematical Occupations,"Mathematical science occupations, all other","$56,120"
Architecture and Engineering Occupations,"Architects, except landscape and naval","$73,090"
Architecture and Engineering Occupations,Landscape architects,"$64,180"
Architecture and Engineering Occupations,Cartographers and photogrammetrists,"$57,440"
Architecture and Engineering Occupations,Surveyors,"$56,230"
Architecture and Engineering Occupations,Aerospace engineers,"$103,720"
Architecture and Engineering Occupations,Agricultural engineers,"$74,000"
Architecture and Engineering Occupations,Biomedical engineers,"$86,960"
Architecture and Engineering Occupations,Chemical engineers,"$94,350"
Architecture and Engineering Occupations,Civil engineers,"$79,340"
