OccupationsGroup,DetailGroup,Wages
Management Occupations,Chief executives,168140
Management Occupations,General and operations managers,95440
Management Occupations,Legislators,19780
Management Occupations,Advertising and promotions managers,88590
Management Occupations,Marketing managers,119480
Management Occupations,Sales managers,105260
Management Occupations,Public relations and fundraising managers,95450
Management Occupations,Administrative services managers,81080
Management Occupations,Computer and information systems managers,120950
Management Occupations,Financial managers,109740
Management Occupations,Industrial production managers,89190
Management Occupations,Purchasing managers,100170
Management Occupations,"Transportation, storage, and distribution managers",81830
Management Occupations,Compensation and benefits managers,95250
Management Occupations,Human resources managers,99720
Management Occupations,Training and development managers,95400
Management Occupations,"Farmers, ranchers, and other agricultural managers",69300
Management Occupations,Construction managers,82790
Management Occupations,"Education administrators, preschool and childcare center/program",43950
Management Occupations,"Education administrators, elementary and secondary school",87760
Management Occupations,"Education administrators, postsecondary",86490
Management Occupations,"Education administrators, all other",76860
Management Occupations,Architectural and engineering managers,124870
Management Occupations,Food service managers,47960
Management Occupations,Funeral service managers,66720
Management Occupations,Gaming managers,65220
Management Occupations,Lodging managers,46810
Management Occupations,Medical and health services managers,88580
Management Occupations,Natural sciences managers,115730
Management Occupations,Postmasters and mail superintendents,63050
Management Occupations,"Property, real estate, and community association managers",52610
Management Occupations,Social and community service managers,59970
Management Occupations,Emergency management directors,59770
Management Occupations,"Managers, all other",100890
Business and Financial Operations Occupations,"Agents and business managers of artists, performers, and athletes",63370
Business and Financial Operations Occupations,"Buyers and purchasing agents, farm products",55720
Business and Financial Operations Occupations,"Wholesale and retail buyers, except farm products",51470
Business and Financial Operations Occupations,"Purchasing agents, except wholesale, retail, and farm products",58760
Business and Financial Operations Occupations,"Claims adjusters, examiners, and investigators",59960
Business and Financial Operations Occupations,"Insurance appraisers, auto damage",58610
Business and Financial Operations Occupations,Compliance officers,62020
Business and Financial Operations Occupations,Cost estimators,58860
Business and Financial Operations Occupations,Human resources specialists,55800
Business and Financial Operations Occupations,Labor relations specialists,54660
Business and Financial Operations Occupations,Logisticians,72780
Business and Financial Operations Occupations,Management analysts,78600
Business and Financial Operations Occupations,"Meeting, convention, and event planners",45810
Business and Financial Operations Occupations,Fundraisers,50680
Business and Financial Operations Occupations,"Compensation, benefits, and job analysis specialists",59090
Business and Financial Operations Occupations,Training and development specialists,55930
Business and Financial Operations Occupations,Market research analysts and marketing specialists,60300
Business and Financial Operations Occupations,"Business operations specialists, all other",65120
Business and Financial Operations Occupations,Accountants and auditors,63550
Business and Financial Operations Occupations,Appraisers and assessors of real estate,49540
Business and Financial Operations Occupations,Budget analysts,69280
Business and Financial Operations Occupations,Credit analysts,61080
Business and Financial Operations Occupations,Financial analysts,76950
Business and Financial Operations Occupations,Personal financial advisors,67520
Business and Financial Operations Occupations,Insurance underwriters,62870
Business and Financial Operations Occupations,Financial examiners,75800
Business and Financial Operations Occupations,Credit counselors,39420
Business and Financial Operations Occupations,Loan officers,59820
Business and Financial Operations Occupations,"Tax examiners and collectors, and revenue agents",50440
Business and Financial Operations Occupations,Tax preparers,33730
Business and Financial Operations Occupations,"Financial specialists, all other",61160
Computer and Mathematical Occupations,Computer and information research scientists,102190
Computer and Mathematical Occupations,Computer systems analysts,79680
Computer and Mathematical Occupations,Information security analysts,86170
Computer and Mathematical Occupations,Computer programmers,74280
Computer and Mathematical Occupations,"Software developers, applications",90060
Computer and Mathematical Occupations,"Software developers, systems software",99000
Computer and Mathematical Occupations,Web developers,62500
Computer and Mathematical Occupations,Database administrators,77080
Computer and Mathematical Occupations,Network and computer systems administrators,72560
Computer and Mathematical Occupations,Computer network architects,91000
Computer and Mathematical Occupations,Computer user support specialists,46420
Computer and Mathematical Occupations,Computer network support specialists,59090
Computer and Mathematical Occupations,"Computer occupations, all other",81140
Computer and Mathematical Occupations,Actuaries,93680
Computer and Mathematical Occupations,Mathematicians,101360
Computer and Mathematical Occupations,Operations research analysts,72100
Computer and Mathematical Occupations,Statisticians,75560
Computer and Mathematical Occupations,Mathematical technicians,56820
Computer and Mathematical Occupations,"Mathematical science occupations, all other",56120
Architecture and Engineering Occupations,"Architects, except landscape and naval",73090
Architecture and Engineering Occupations,Landscape architects,64180
Architecture and Engineering Occupations,Cartographers and photogrammetrists,57440
Architecture and Engineering Occupations,Surveyors,56230
Architecture and Engineering Occupations,Aerospace engineers,103720
Architecture and Engineering Occupations,Agricultural engineers,74000
Architecture and Engineering Occupations,Biomedical engineers,86960
Architecture and Engineering Occupations,Chemical engineers,94350
Architecture and Engineering Occupations,Civil engineers,79340
Architecture and Engineering Occupations,Computer hardware engineers,100920
Architecture and Engineering Occupations,Electrical engineers,87920
Architecture and Engineering Occupations,"Electronics engineers, except computer",91820
Architecture and Engineering Occupations,Environmental engineers,80890
Architecture and Engineering Occupations,"Health and safety engineers, except mining safety engineers and inspectors",76830
Architecture and Engineering Occupations,Industrial engineers,78860
Architecture and Engineering Occupations,Marine engineers and naval architects,88100
Architecture and Engineering Occupations,Materials engineers,85150
Architecture and Engineering Occupations,Mechanical engineers,80580
Architecture and Engineering Occupations,"Mining and geological engineers, including mining safety engineers",84320
Architecture and Engineering Occupations,Nuclear engineers,104270
Architecture and Engineering Occupations,Petroleum engineers,130280
Architecture and Engineering Occupations,"Engineers, all other",92030
